	X	PlayerID	Player.Name	Season	PT2M_0	PT2M_1	PT2M_2	PT2M_3	PT2M_4	PT2M_5	PT2M_6	PT2M_7	PT2M_8	PT2M_9	PT2M_10	PT2M_11	PT2M_12	PT2M_13	PT2M_14	PT2M_15	PT2M_16	PT2M_17	PT2M_18	PT2M_19	PT2M_20	PT2M_21	PT2M_22	PT2M_23	PT2M_24	PT2A_0	PT2A_1	PT2A_2	PT2A_3	PT2A_4	PT2A_5	PT2A_6	PT2A_7	PT2A_8	PT2A_9	PT2A_10	PT2A_11	PT2A_12	PT2A_13	PT2A_14	PT2A_15	PT2A_16	PT2A_17	PT2A_18	PT2A_19	PT2A_20	PT2A_21	PT2A_22	PT2A_23	PT2A_24	PT3M_22	PT3M_23	PT3M_24	PT3M_25	PT3M_26	PT3M_27	PT3M_28	PT3M_29	PT3M_30	PT3M_31	PT3M_32	PT3M_33	PT3M_34	PT3M_35	PT3M_36	PT3M_37	PT3M_38	PT3A_22	PT3A_23	PT3A_24	PT3A_25	PT3A_26	PT3A_27	PT3A_28	PT3A_29	PT3A_30	PT3A_31	PT3A_32	PT3A_33	PT3A_34	PT3A_35	PT3A_36	PT3A_37	PT3A_38
807	A	203481	Jeff Withey	2014-15	0	2	3	5	4	3	2	1	0	1	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	3	5	14	10	3	5	1	4	1	1	0	0	0	2	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
808	A	203482	Kelly Olynyk	2013-14	2	15	34	34	28	17	10	4	8	3	1	1	3	0	1	2	3	4	6	3	4	5	3	2	1	2	19	55	55	47	26	22	18	14	6	8	2	11	5	5	7	11	11	12	15	12	10	7	3	4	2	3	25	10	0	0	0	0	0	0	0	0	0	0	0	0	0	7	4	60	37	2	1	0	2	0	0	0	0	0	0	0	0	0
809	A	203482	Kelly Olynyk	2014-15	1	10	22	14	21	17	10	4	2	1	4	1	4	2	3	2	3	2	4	3	2	2	0	0	1	2	14	31	22	34	21	16	11	7	4	8	4	8	4	7	3	9	3	7	4	8	2	4	0	4	1	1	21	7	3	2	0	0	0	0	0	0	0	0	0	0	0	4	6	56	24	8	3	0	0	0	0	0	0	0	0	0	0	0
810	A	203484	Kentavious Caldwell-Pope	2013-14	2	7	8	17	24	7	8	3	3	5	1	2	4	3	3	2	3	3	7	2	3	1	5	0	0	2	11	15	27	31	18	18	10	11	8	4	6	6	4	9	6	11	9	18	8	11	9	15	5	1	13	16	24	2	3	0	0	0	0	0	0	0	0	0	0	0	0	40	39	58	26	10	3	1	0	1	2	0	0	0	0	0	0	0
811	A	203484	Kentavious Caldwell-Pope	2014-15	2	3	11	15	23	15	11	6	1	1	2	5	2	5	5	2	6	4	5	7	8	3	3	2	1	2	3	23	26	39	26	23	11	9	9	7	11	13	11	13	7	11	9	16	16	22	13	8	4	6	11	21	35	30	11	1	1	1	0	0	0	0	0	0	0	0	0	35	46	92	75	29	6	9	1	2	0	1	0	0	1	0	1	0
812	A	203485	Lorenzo Brown	2013-14	0	2	0	3	5	5	0	0	1	2	1	0	0	0	0	2	1	0	0	0	1	0	0	0	0	0	4	1	8	9	7	2	6	1	3	2	0	2	0	0	2	1	0	0	2	3	0	0	0	3	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	6	7	10	1	0	0	0	0	0	1	0	0	0	0	0	0
813	A	203485	Lorenzo Brown	2014-15	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	2	1	0	1	0	1	0	1	0	0	1	0	1	0	1	0	0	0	1	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0
814	A	203486	Mason Plumlee	2013-14	8	31	51	29	34	13	16	8	3	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	49	68	44	40	24	25	18	5	6	3	2	0	0	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
815	A	203486	Mason Plumlee	2014-15	7	37	53	23	32	25	19	6	5	2	4	0	1	0	1	0	0	0	0	0	0	0	0	0	0	10	46	81	40	51	42	36	20	14	10	6	1	2	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
816	A	203487	Michael Carter-Williams	2013-14	3	8	33	45	56	39	39	23	21	9	16	2	9	1	3	6	5	7	13	10	7	9	5	1	0	5	15	51	82	107	89	99	62	56	31	35	14	23	6	5	9	11	14	35	22	18	26	18	9	1	4	2	22	17	8	1	0	1	0	0	0	0	0	0	0	0	0	7	10	77	80	22	4	2	1	0	0	0	0	1	0	0	0	0
817	A	203487	Michael Carter-Williams	2014-15	0	7	15	20	32	28	24	12	11	9	3	3	3	3	2	1	3	3	3	2	5	8	2	0	0	0	12	24	32	53	60	57	25	30	24	14	11	11	9	5	3	8	17	15	13	20	24	12	4	0	1	1	15	10	3	1	1	0	0	0	0	0	0	0	0	0	0	6	4	60	37	12	2	2	0	0	0	0	1	0	0	0	0	0
818	A	203488	Mike Muscala	2013-14	0	2	4	2	2	0	1	0	3	0	3	0	0	0	0	0	1	3	4	3	2	0	1	0	0	2	2	7	6	3	2	3	3	3	0	5	1	2	0	0	1	3	5	9	5	6	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
819	A	203488	Mike Muscala	2014-15	0	2	3	2	4	1	1	0	0	0	1	2	1	0	0	1	1	1	1	1	3	2	0	0	0	0	3	6	3	7	2	1	0	4	0	1	3	2	0	0	3	2	1	1	3	3	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
