	teamAbb	PTM2_1ft	PTM2_3ft	PTM2_5ft	PTM2_7ft	PTM2_9ft	PTM2_11ft	PTM2_13ft	PTM2_15ft	PTM2_17ft	PTM2_19ft	PTM2_21ft	PTM2_23ft	PTM3_23ft	PTM3_25ft	PTM3_27ft	PTA2_1ft	PTA2_3ft	PTA2_5ft	PTA2_7ft	PTA2_9ft	PTA2_11ft	PTA2_13ft	PTA2_15ft	PTA2_17ft	PTA2_19ft	PTA2_21ft	PTA2_23ft	PTA3_23ft	PTA3_25ft	PTA3_27ft	PTD2_1ft	PTD2_3ft	PTD2_5ft	PTD2_7ft	PTD2_9ft	PTD2_11ft	PTD2_13ft	PTD2_15ft	PTD2_17ft	PTD2_19ft	PTD2_21ft	PTD2_23ft	PTD3_23ft	PTD3_25ft	PTD3_27ft	PTT2_1ft	PTT2_3ft	PTT2_5ft	PTT2_7ft	PTT2_9ft	PTT2_11ft	PTT2_13ft	PTT2_15ft	PTT2_17ft	PTT2_19ft	PTT2_21ft	PTT2_23ft	PTT3_23ft	PTT3_25ft	PTT3_27ft
CHI_2014-15_Regular_Def	CHI_2014-15_Regular_Def	247	459	297	177	118	109	97	96	170	176	138	32	137	232	24	407	763	579	456	305	239	240	259	377	438	332	89	363	707	94	924.0000000000002	2004.2000000000014	1283.4	1058.1999999999996	854.4999999999997	818.8000000000002	879.4000000000002	1111.2	1773.600000000002	2283.4000000000005	1769.0999999999992	489.79999999999995	2238.1000000000004	4242.200000000001	468.8	4359.500000000002	9501.799999999994	7138.099999999995	5113.999999999999	3213.1000000000004	2473.4	2650.4000000000005	2682.3000000000006	4116.500000000001	4703.199999999999	3648.400000000001	965.4	4393.5	8501.1	1020.5999999999999
CHI_2014-15_Playoffs_Off	CHI_2014-15_Playoffs_Off	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CHI_2014-15_Playoffs_Def	CHI_2014-15_Playoffs_Def	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CLE_2013-14_Regular_Off	CLE_2013-14_Regular_Off	290	492	318	174	117	97	86	118	185	239	148	40	173	285	53	494	807	643	451	319	227	220	273	443	557	396	115	455	775	144	1213.8	2406.7000000000003	1619.3999999999999	1161.1	974.2999999999998	791.3000000000001	811.6999999999999	1239.1000000000001	2131.3999999999996	2700.7	1795.2000000000003	556.8000000000001	2855.4000000000005	4700.599999999999	794.9	5707.299999999999	10183.199999999999	8017.000000000001	4950.3	3371.3999999999996	2409.7000000000003	2384.0000000000005	2675.0000000000005	5045.200000000001	6364.800000000001	4176.0	1226.8999999999999	5293.2	9782.099999999999	1587.6999999999998
CLE_2013-14_Regular_Def	CLE_2013-14_Regular_Def	272	513	362	181	134	100	73	92	147	167	133	38	244	381	58	412	778	667	455	296	238	190	256	330	424	348	106	621	1018	154	1072.6999999999994	2239.2999999999984	1604.0999999999995	1266.1000000000001	872.0000000000003	807.6999999999999	739.1	1169.2	1610.3999999999996	2201.0000000000005	1843.600000000001	606.9000000000001	3908.3999999999983	6302.999999999998	867.3000000000003	4607.0999999999985	9794.299999999997	8286.599999999997	4952.399999999998	3027.8999999999987	2314.7000000000003	1865.7000000000003	2623.9	3492.200000000001	4540.899999999999	3613.0	1058.6000000000001	7222.099999999996	11480.300000000001	1412.6999999999994
CLE_2013-14_Playoffs_Off	CLE_2013-14_Playoffs_Off	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CLE_2013-14_Playoffs_Def	CLE_2013-14_Playoffs_Def	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CLE_2014-15_Regular_Off	CLE_2014-15_Regular_Off	278	528	265	162	94	52	50	76	100	105	73	34	202	335	64	450	797	517	384	254	170	127	171	186	236	212	95	543	911	173	1167.7999999999997	2203.8	1440.7999999999995	1044.9000000000003	735.8000000000001	581.5999999999999	484.5	775.8999999999999	913.6	1113.6	995.1999999999998	438.9000000000001	3246.7999999999997	5438.599999999999	966.4000000000001	5053.199999999999	10457.8	6373.399999999999	4385.700000000002	2698.3	1662.7	1174.1	1640.4999999999995	1992.4	2418.4	2157.7000000000003	857.0	6352.199999999999	10807.9	1881.1
CLE_2014-15_Regular_Def	CLE_2014-15_Regular_Def	251	462	322	204	95	79	50	78	108	143	128	18	174	256	45	381	715	631	439	260	184	154	185	291	351	273	70	451	784	133	958.1	2007.7000000000007	1565.1000000000006	1133.0	759.8000000000001	613.0000000000001	583.3000000000002	853.9999999999998	1537.9999999999998	1926.3000000000004	1429.4000000000003	346.19999999999993	3166.0999999999985	4936.800000000002	726.4000000000002	4346.9000000000015	8820.8	8049.700000000005	4925.800000000006	2719.2999999999993	1994.7999999999995	1705.9999999999993	2128.6000000000004	3232.900000000001	3963.500000000001	2999.2	748.6	5429.200000000003	9532.199999999997	1327.1
CLE_2014-15_Playoffs_Off	CLE_2014-15_Playoffs_Off	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
